2019-12-23 14:51:29,022: Key.shift:
2019-12-23 14:51:29,173: 'H':
2019-12-23 14:51:29,412: 'e':
2019-12-23 14:51:29,515: 'l':
2019-12-23 14:51:29,641: 'l':
2019-12-23 14:51:29,772: 'o':
2019-12-23 14:51:44,054: Key.backspace:
2019-12-23 14:51:44,334: Key.backspace:
2019-12-23 14:51:44,493: Key.backspace:
2019-12-23 14:51:44,637: Key.backspace:
2019-12-23 14:51:44,859: Key.backspace:
2019-12-23 14:51:49,954: Key.esc:
2019-12-23 14:52:12,786: Key.ctrl:
2019-12-23 14:52:12,985: 's':
2019-12-23 14:58:06,254: Key.esc:
2019-12-23 14:58:07,674: Key.backspace:
2019-12-23 14:58:07,900: Key.backspace:
2019-12-23 14:59:20,676: 'h':
2019-12-23 14:59:20,931: 'e':
2019-12-23 14:59:21,034: 'l':
2019-12-23 14:59:21,184: 'l':
2019-12-23 14:59:21,319: 'o':
2019-12-23 15:01:25,509: Key.backspace:
2019-12-23 15:01:25,886: Key.down:
2019-12-23 15:01:26,103: Key.backspace:
2019-12-23 15:01:26,308: Key.up:
2019-12-23 15:01:26,565: Key.right:
2019-12-23 15:01:26,776: Key.up:
2019-12-23 15:01:26,941: Key.right:
2019-12-23 15:01:27,441: Key.right:
2019-12-23 15:01:27,471: Key.right:
2019-12-23 15:01:27,502: Key.right:
2019-12-23 15:01:27,531: Key.right:
2019-12-23 15:01:27,562: Key.right:
2019-12-23 15:01:27,592: Key.right:
2019-12-23 15:01:27,622: Key.right:
2019-12-23 15:01:27,652: Key.right:
2019-12-23 15:01:27,683: Key.right:
2019-12-23 15:01:27,713: Key.right:
2019-12-23 15:01:27,743: Key.right:
2019-12-23 15:01:27,774: Key.right:
2019-12-23 15:01:27,804: Key.right:
2019-12-23 15:01:27,835: Key.right:
2019-12-23 15:01:27,866: Key.right:
2019-12-23 15:01:27,896: Key.right:
2019-12-23 15:01:27,925: Key.right:
2019-12-23 15:01:27,956: Key.right:
2019-12-23 15:01:28,311: Key.backspace:
2019-12-23 15:01:28,812: Key.backspace:
2019-12-23 15:01:28,843: Key.backspace:
2019-12-23 15:01:28,874: Key.backspace:
2019-12-23 15:01:28,904: Key.backspace:
2019-12-23 15:01:28,934: Key.backspace:
2019-12-23 15:01:28,964: Key.backspace:
2019-12-23 15:01:28,995: Key.backspace:
2019-12-23 15:01:29,026: Key.backspace:
2019-12-23 15:01:29,055: Key.backspace:
2019-12-23 15:01:29,086: Key.backspace:
2019-12-23 15:01:29,116: Key.backspace:
2019-12-23 15:01:29,145: Key.backspace:
2019-12-23 15:01:29,176: Key.backspace:
2019-12-23 15:01:29,206: Key.backspace:
2019-12-23 15:01:29,237: Key.backspace:
2019-12-23 15:01:29,267: Key.backspace:
2019-12-23 15:01:29,296: Key.backspace:
2019-12-23 15:01:29,327: Key.backspace:
2019-12-23 15:01:29,589: Key.backspace:
2019-12-23 15:01:29,920: Key.down:
2019-12-23 15:01:30,114: Key.backspace:
2019-12-23 15:01:43,991: Key.backspace:
2019-12-23 15:01:44,139: Key.backspace:
2019-12-23 15:01:44,350: Key.shift:
2019-12-23 15:01:44,436: 'J':
2019-12-23 15:01:44,601: 'u':
2019-12-23 15:01:44,676: 's':
2019-12-23 15:01:44,812: 't':
2019-12-23 15:01:44,898: Key.space:
2019-12-23 15:01:44,955: 'a':
2019-12-23 15:01:45,097: Key.space:
2019-12-23 15:02:36,006: Key.ctrl:
2019-12-23 15:02:36,725: Key.ctrl:
2019-12-23 15:02:38,055: Key.ctrl:
2019-12-23 15:02:38,374: 's':
